StudentID,Name,SectionID,Scheme
S1000,BTYEZ,SEC01,A
S1001,HGECK,SEC01,A
S1002,QZIVR,SEC01,A
S1003,GRPHH,SEC01,A
S1004,UNNRT,SEC01,A
S1005,FOGTO,SEC01,A
S1006,VZSEH,SEC01,A
S1007,BQAAC,SEC01,A
S1008,PKRIA,SEC01,A
S1009,HIABS,SEC01,A
S1010,IXBLM,SEC01,A
S1011,TYHFY,SEC01,A
S1012,XFEEZ,SEC01,A
S1013,BMWQG,SEC01,A
S1014,MJSRZ,SEC01,A
S1015,MCYFV,SEC01,A
S1016,CCHHS,SEC01,A
S1017,CMGDY,SEC01,A
S1018,SHQEO,SEC01,A
S1019,FKLRI,SEC01,A
S1020,SKFDP,SEC01,A
S1021,NYVYT,SEC01,A
S1022,BPUCE,SEC01,A
S1023,EPPUV,SEC01,A
S1024,DRFIP,SEC01,A
S1025,QQZBX,SEC01,A
S1026,JTAZA,SEC01,A
S1027,HXFGX,SEC01,A
S1028,JIRIZ,SEC01,A
S1029,OCHWJ,SEC01,A
S1030,GHCZL,SEC01,A
S1031,FKPGV,SEC01,A
S1032,FQNSS,SEC01,A
S1033,KBRYS,SEC01,A
S1034,MHVVO,SEC01,A
S1035,JQTFY,SEC01,A
S1036,VPNIW,SEC01,A
S1037,LLEFY,SEC01,A
S1038,OHNNQ,SEC01,A
S1039,WIOUI,SEC01,A
S1040,AWIBZ,SEC01,A
S1041,BGTJB,SEC01,A
S1042,PDIMX,SEC01,A
S1043,LYGVY,SEC01,A
S1044,JLJPQ,SEC01,A
S1045,TQVAO,SEC01,A
S1046,EWAFR,SEC01,A
S1047,WACDA,SEC01,A
S1048,VXZJS,SEC01,A
S1049,VFZFX,SEC01,A
S1050,CPESV,SEC01,A
S1051,EJMCW,SEC01,A
S1052,LDROA,SEC01,A
S1053,QVMZA,SEC01,A
S1054,ROJST,SEC01,A
S1055,RNOEU,SEC01,A
S1056,TNOHD,SEC01,A
S1057,KDECD,SEC01,A
S1058,OVZQS,SEC01,A
S1059,IIHCD,SEC01,A
S1060,QYGBW,SEC01,A
S1061,HELKF,SEC01,A
S1062,NTVRM,SEC01,A
S1063,BXKXV,SEC01,A
S1064,XUHJL,SEC01,A
S1065,JBQTD,SEC01,A
S1066,WBQPX,SEC01,A
S1067,QUQRU,SEC01,A
S1068,UDWDY,SEC01,A
S1069,LHCWO,SEC01,A
S1070,NBUZK,SEC01,A
S1071,RGTQV,SEC01,A
S1072,CIEYR,SEC01,A
S1073,CMIMY,SEC01,A
S1074,MHVVA,SEC01,A
S1075,RPUNE,SEC01,A
S1076,LRBDQ,SEC01,A
S1077,OBXNI,SEC01,A
S1078,MSQHG,SEC01,A
S1079,ZDWMG,SEC01,A
S1080,DHBZQ,SEC01,A
S1081,PFIRB,SEC01,A
S1082,TQNLY,SEC01,A
S1083,ARCIU,SEC01,A
S1084,AQFDP,SEC01,A
S1085,FLGMA,SEC01,A
S1086,YXZSP,SEC01,A
S1087,VJBUP,SEC01,A
S1088,NBKNQ,SEC01,A
S1089,DFPEI,SEC01,A
S1090,YXQFP,SEC01,A
S1091,YRNQF,SEC01,A
S1092,JSGWT,SEC01,A
S1093,FWWBI,SEC01,A
S1094,CJWHP,SEC01,A
S1095,FOFAJ,SEC01,A
S1096,WBKWF,SEC01,A
S1097,TTJYL,SEC01,A
S1098,GJZDL,SEC01,A
S1099,YEGTW,SEC01,A
S1100,UCBNB,SEC02,A
S1101,WVUYX,SEC02,A
S1102,FYBEZ,SEC02,A
S1103,IQOWL,SEC02,A
S1104,BYIMF,SEC02,A
S1105,LGWMP,SEC02,A
S1106,TWYIV,SEC02,A
S1107,JRIZP,SEC02,A
S1108,PFWVV,SEC02,A
S1109,GAJMT,SEC02,A
S1110,YUEJN,SEC02,A
S1111,UHYHJ,SEC02,A
S1112,AYWNB,SEC02,A
S1113,VIILN,SEC02,A
S1114,TYHSJ,SEC02,A
S1115,JDYTK,SEC02,A
S1116,ZAQON,SEC02,A
S1117,TFLPE,SEC02,A
S1118,EVFTN,SEC02,A
S1119,TZKAC,SEC02,A
S1120,LZHTI,SEC02,A
S1121,RDVNI,SEC02,A
S1122,HZQMR,SEC02,A
S1123,PHNRS,SEC02,A
S1124,SMTBI,SEC02,A
S1125,KWFZM,SEC02,A
S1126,QFVGU,SEC02,A
S1127,XVQWT,SEC02,A
S1128,AAXCF,SEC02,A
S1129,IKXYI,SEC02,A
S1130,CKKWI,SEC02,A
S1131,BCPZT,SEC02,A
S1132,TXOXL,SEC02,A
S1133,QVKPR,SEC02,A
S1134,OVPYQ,SEC02,A
S1135,RRHIY,SEC02,A
S1136,PSBPT,SEC02,A
S1137,LLHQU,SEC02,A
S1138,TZBLR,SEC02,A
S1139,BLMSJ,SEC02,A
S1140,OPQVV,SEC02,A
S1141,YSIUM,SEC02,A
S1142,RALXV,SEC02,A
S1143,EPGSG,SEC02,A
S1144,PGMJX,SEC02,A
S1145,IUHEQ,SEC02,A
S1146,KONGV,SEC02,A
S1147,AUNYW,SEC02,A
S1148,UUUKI,SEC02,A
S1149,CUOZB,SEC02,A
S1150,ZVIJB,SEC02,A
S1151,JYPDW,SEC02,A
S1152,NTAWJ,SEC02,A
S1153,EXKYC,SEC02,A
S1154,KSGQP,SEC02,A
S1155,GUEIZ,SEC02,A
S1156,FZJID,SEC02,A
S1157,GPJBW,SEC02,A
S1158,JAUON,SEC02,A
S1159,UXVMP,SEC02,A
S1160,INKOD,SEC02,A
S1161,KGVIZ,SEC02,A
S1162,IPVGI,SEC02,A
S1163,TXVXV,SEC02,A
S1164,VYHXS,SEC02,A
S1165,DPPXK,SEC02,A
S1166,IUIKY,SEC02,A
S1167,IRGHC,SEC02,A
S1168,KHYTR,SEC02,A
S1169,FCYCN,SEC02,A
S1170,EAUZB,SEC02,A
S1171,OSAEO,SEC02,A
S1172,LWYKL,SEC02,A
S1173,ZKWSU,SEC02,A
S1174,DXXXZ,SEC02,A
S1175,TDDDM,SEC02,A
S1176,VXGVI,SEC02,A
S1177,LRCGN,SEC02,A
S1178,CMLEQ,SEC02,A
S1179,GFIRI,SEC02,A
S1180,YRVTF,SEC02,A
S1181,KGVQX,SEC02,A
S1182,RSSSQ,SEC02,A
S1183,GSYQZ,SEC02,A
S1184,NCCAX,SEC02,A
S1185,ZSRXU,SEC02,A
S1186,ILCNZ,SEC02,A
S1187,KGUJG,SEC02,A
S1188,VWSFF,SEC02,A
S1189,PLAEM,SEC02,A
S1190,WSSIQ,SEC02,A
S1191,DVRKR,SEC02,A
S1192,BGTWM,SEC02,A
S1193,JLRWL,SEC02,A
S1194,AKOPI,SEC02,A
S1195,IQDNR,SEC02,A
S1196,WUBTZ,SEC02,A
S1197,HJBDJ,SEC02,A
S1198,LKWSV,SEC02,A
S1199,ZLNJQ,SEC02,A
S1200,HLLBV,SEC03,A
S1201,KIHHK,SEC03,A
S1202,VVXYN,SEC03,A
S1203,KSLNR,SEC03,A
S1204,EYNAG,SEC03,A
S1205,KORNX,SEC03,A
S1206,TCUDW,SEC03,A
S1207,NLJGL,SEC03,A
S1208,WYAEJ,SEC03,A
S1209,VJZUZ,SEC03,A
S1210,RJKAT,SEC03,A
S1211,GBEFH,SEC03,A
S1212,PLIOC,SEC03,A
S1213,NMGBY,SEC03,A
S1214,YRSXO,SEC03,A
S1215,YWJAO,SEC03,A
S1216,TBESG,SEC03,A
S1217,ZECQS,SEC03,A
S1218,ZENNF,SEC03,A
S1219,WYSDD,SEC03,A
S1220,BOBIS,SEC03,A
S1221,NRJDT,SEC03,A
S1222,XYNBE,SEC03,A
S1223,GOSRT,SEC03,A
S1224,HYLLM,SEC03,A
S1225,MUVIG,SEC03,A
S1226,MXLHY,SEC03,A
S1227,QTXOW,SEC03,A
S1228,TNNCQ,SEC03,A
S1229,UKYSW,SEC03,A
S1230,ERCWE,SEC03,A
S1231,SHCJQ,SEC03,A
S1232,BMBUG,SEC03,A
S1233,EYPFI,SEC03,A
S1234,IXKBC,SEC03,A
S1235,WCHPO,SEC03,A
S1236,PILIF,SEC03,A
S1237,IGLLR,SEC03,A
S1238,PWDUR,SEC03,A
S1239,KXYBJ,SEC03,A
S1240,BNXTE,SEC03,A
S1241,PCOVV,SEC03,A
S1242,JVYLC,SEC03,A
S1243,YGNBD,SEC03,A
S1244,EDXZE,SEC03,A
S1245,ZZNOY,SEC03,A
S1246,MLVWG,SEC03,A
S1247,JFBMO,SEC03,A
S1248,RTRTQ,SEC03,A
S1249,RMXFA,SEC03,A
S1250,JVMGH,SEC03,A
S1251,LOUZU,SEC03,A
S1252,VMEVK,SEC03,A
S1253,WRGZB,SEC03,A
S1254,BRKRS,SEC03,A
S1255,NYZXA,SEC03,A
S1256,YKTXP,SEC03,A
S1257,KDEBU,SEC03,A
S1258,ZFVFR,SEC03,A
S1259,RTKXE,SEC03,A
S1260,ELDRM,SEC03,A
S1261,NXPHK,SEC03,A
S1262,LCAXF,SEC03,A
S1263,DFVOF,SEC03,A
S1264,JFFPV,SEC03,A
S1265,CJAQH,SEC03,A
S1266,ZEELM,SEC03,A
S1267,HEQTB,SEC03,A
S1268,DMVQA,SEC03,A
S1269,BAYCE,SEC03,A
S1270,HGOAI,SEC03,A
S1271,YITJD,SEC03,A
S1272,NCJRL,SEC03,A
S1273,UUDWF,SEC03,A
S1274,TXQKM,SEC03,A
S1275,HGWMK,SEC03,A
S1276,IHAHV,SEC03,A
S1277,FXGPZ,SEC03,A
S1278,DVQRB,SEC03,A
S1279,LYNWU,SEC03,A
S1280,BSRVU,SEC03,A
S1281,YCDPQ,SEC03,A
S1282,BKQNP,SEC03,A
S1283,ZWJZX,SEC03,A
S1284,RNAMD,SEC03,A
S1285,QGYEB,SEC03,A
S1286,DJXXW,SEC03,A
S1287,LYRJM,SEC03,A
S1288,AAQRH,SEC03,A
S1289,YCDTI,SEC03,A
S1290,VWKNZ,SEC03,A
S1291,IVGQM,SEC03,A
S1292,DDDOO,SEC03,A
S1293,ICUUM,SEC03,A
S1294,OBFNE,SEC03,A
S1295,AMOUE,SEC03,A
S1296,LSUZC,SEC03,A
S1297,TEZBL,SEC03,A
S1298,KEYEV,SEC03,A
S1299,XROTO,SEC03,A
S1300,VLIAJ,SEC04,A
S1301,NNMDT,SEC04,A
S1302,VVEBB,SEC04,A
S1303,DALAA,SEC04,A
S1304,UVFYY,SEC04,A
S1305,FNFSL,SEC04,A
S1306,AFGMT,SEC04,A
S1307,SZLEB,SEC04,A
S1308,LFLFM,SEC04,A
S1309,SOWCA,SEC04,A
S1310,KDDPS,SEC04,A
S1311,CORXW,SEC04,A
S1312,WNDJX,SEC04,A
S1313,ZNVVO,SEC04,A
S1314,YSACG,SEC04,A
S1315,MYJYB,SEC04,A
S1316,VYWXM,SEC04,A
S1317,IWNBD,SEC04,A
S1318,GYWOL,SEC04,A
S1319,ZVGGA,SEC04,A
S1320,JDRLH,SEC04,A
S1321,BFCLR,SEC04,A
S1322,KITCP,SEC04,A
S1323,YXHUE,SEC04,A
S1324,DODXV,SEC04,A
S1325,POKLS,SEC04,A
S1326,APNHF,SEC04,A
S1327,UMRXP,SEC04,A
S1328,KYLHK,SEC04,A
S1329,ZOLEB,SEC04,A
S1330,ITETO,SEC04,A
S1331,NAQMU,SEC04,A
S1332,TJAWJ,SEC04,A
S1333,UIADV,SEC04,A
S1334,CMEMU,SEC04,A
S1335,RVVMF,SEC04,A
S1336,HPUVX,SEC04,A
S1337,YBPXP,SEC04,A
S1338,MUGEZ,SEC04,A
